Acatlán
Información del Tema: Comercio
Ganado en pie guajolotes. Valor de la producción,1,611 Cabezas
Leche bovino. Producción,19317.00 Miles de Lts
Leche bovino. Valor de la producción,112365.00 Miles de Lts
Huevo para plato. Producción,68.00 Ton
Huevo para plato. Valor de la producción,1652.00 Ton
Miel. Producción,Ton
Miel. Valor de la producción,Miles de pesos
Información del Tema: Rezago Social
Fuente: CONEVAL, 2015.
Concepto,valor
Población total,56,429 Personas
Población de 15 años o más analfabeta,4.58%
Población de 6 a 14 años que no asiste a la escuela,1.14%
Población de 15 años y más con educación básica incompleta,31.58%
Población sin derechohabiencia a servicios de salud,21.06%
Viviendas con piso de tierra,3%
Viviendas que no disponen de excusado o sanitario,3.27%
Viviendas que no disponen de agua entubada de la red pública,2.48%
Viviendas que no disponen de drenaje,2.98%
Viviendas que no disponen de energía eléctrica,1.10%
Viviendas que no disponen de lavadora,43%
Viviendas que no disponen de refrigerador,21%
Índice de rezago social,-0.90
Grado de rezago social,Bajo
Lugar que ocupa en el contexto nacional,1,969
Información del Tema: Salud
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Porcentaje de población total afiliada a servicios de salud,79%
Porcentaje de población afiliada al IMSS,13%
Porcentaje de población afiliada al ISSSTE e ISSSTE estatal,9.95%
Porcentaje de población afiliada a PEMEX, defensa o marina,0.07%
Porcentaje de población afiliada al seguro popular o para una nueva generación,78%
Porcentaje de población afiliada a alguna institución privada,0.53%
Porcentaje de población afiliada a otra institución,0.13%
Población usuaria del IMSS,18,800 Personas
Población usuaria del ISSSTE,0 Personas
Población usuaria a PEMEX,0 Personas
Población usuaria del IMSS-PROSPERA,340 Personas
Población usuaria de SSA,32,029 Personas
Población usuaria del DIF,0 Personas
Personal médico total,119 Médicos
Personal médico del IMSS,14 Médicos
Personal médico del ISSSTE,2 Médicos
Personal médico de PEMEX,0 Médicos
Personal médico del IMSS-PROSPERA,1 Médicos
Personal médico de SSA,102 Médicos
Personal médico del DIF,0 Médicos
Casas de salud, 2017,8 Casas de salud

